"Exposure middle" Magnitude Deviation
"2022-03-22 22:25:48" -0.15465374 0.0024984712
"2022-03-22 22:24:17" -0.17587148 0.002500531
"2022-03-22 22:22:45" -0.16868089 0.0024710447
"2022-03-22 22:21:13" -0.17584747 0.0024466226
"2022-03-22 22:19:42" -0.16638511 0.0024976109
"2022-03-22 22:18:10" -0.17660928 0.0025224315
"2022-03-22 22:16:39" -0.15173703 0.002480253
"2022-03-22 22:15:08" -0.16158926 0.0024959252
"2022-03-22 22:13:36" -0.15161413 0.002440353
"2022-03-22 22:12:05" -0.15202309 0.002445273
"2022-03-22 22:10:34" -0.15345597 0.0024961294
"2022-03-22 22:09:02" -0.15600155 0.0024689892
"2022-03-22 22:07:31" -0.15581836 0.0024500552
"2022-03-22 22:05:59" -0.15709943 0.0024432375
"2022-03-22 22:04:28" -0.15644552 0.0024100803
"2022-03-22 22:02:56" -0.16635081 0.0023387938
"2022-03-22 22:01:25" -0.1542195 0.0023917633
"2022-03-22 21:59:53" -0.15675913 0.0023596403
"2022-03-22 21:58:22" -0.14545286 0.0023344099
"2022-03-22 21:56:51" -0.15723886 0.002389506
"2022-03-22 21:55:19" -0.15532938 0.0023875285
"2022-03-22 21:53:48" -0.14695412 0.002389378
"2022-03-22 21:52:17" -0.1713625 0.0023733906
"2022-03-22 21:50:46" -0.14762574 0.0023246382
"2022-03-22 21:49:14" -0.15429641 0.0023181278
"2022-03-22 21:47:43" -0.16236135 0.0023362038
"2022-03-22 21:46:11" -0.15644664 0.002301163
"2022-03-22 21:44:40" -0.15874572 0.0023083834
"2022-03-22 21:43:09" -0.15531053 0.002345374
"2022-03-22 21:41:37" -0.15492108 0.0023202521
"2022-03-22 21:40:06" -0.16157432 0.0023179248
"2022-03-22 21:38:35" -0.13971697 0.0022808206
"2022-03-22 21:37:03" -0.15598059 0.0022833834
"2022-03-22 21:35:32" -0.15851925 0.0022761887
"2022-03-22 21:34:00" -0.1614543 0.0023098886
"2022-03-22 21:32:29" -0.15729886 0.0022877078
"2022-03-22 21:29:26" -0.16630884 0.0022264938
"2022-03-22 21:27:55" -0.15477082 0.0022797738
"2022-03-22 21:24:53" -0.15195964 0.0022577557
"2022-03-22 21:23:21" -0.1585792 0.002260585
"2022-03-22 21:21:50" -0.15558937 0.002218132
"2022-03-03 22:15:26" -0.18293984 0.0051703844
"2022-03-03 22:13:55" -0.19058034 0.004083047
"2022-03-03 22:12:23" -0.185542 0.0035702793
"2022-03-03 22:10:52" -0.17367603 0.0033889501
"2022-03-03 22:09:21" -0.17489149 0.0032563577
"2022-03-03 22:07:50" -0.17769729 0.0032262928
"2022-03-03 22:06:18" -0.17003995 0.0031880946
"2022-03-03 22:04:47" -0.1776775 0.003113607
"2022-03-03 22:03:16" -0.1632976 0.003122152
"2022-03-03 22:01:45" -0.17866728 0.0031281884
"2022-03-03 21:57:11" -0.1618646 0.002967173
"2022-03-03 21:54:08" -0.17119162 0.0029031914
"2022-03-03 21:55:39" -0.17281382 0.0029116282
"2022-03-03 21:52:37" -0.16953996 0.002883507
"2022-03-03 21:51:05" -0.17140496 0.0028596846
"2022-03-03 21:49:34" -0.16590676 0.0028664079
"2022-03-03 21:48:03" -0.16948216 0.002836844
"2022-03-03 21:46:31" -0.16657521 0.002840042
"2022-03-03 21:43:29" -0.16356681 0.0028059832
"2022-03-03 21:45:00" -0.17063685 0.002852749
"2022-03-03 21:41:57" -0.17040986 0.0027767215
"2022-03-03 21:40:26" -0.16854914 0.002763871
"2022-03-03 21:38:55" -0.16928616 0.0027376732
"2022-03-03 21:37:24" -0.1639506 0.0027144067
"2022-03-03 21:35:52" -0.16015983 0.002694939
"2022-03-03 21:34:21" -0.16831937 0.002680817
"2022-03-03 21:32:49" -0.16752146 0.0026846922
"2022-03-03 21:31:18" -0.16566123 0.0026668946
"2022-03-03 21:29:47" -0.17071018 0.0026724578
"2022-03-03 21:28:15" -0.1703707 0.0026778872
"2022-03-03 21:26:44" -0.16713826 0.0026704578
"2022-03-03 21:25:13" -0.17241581 0.002661284
"2022-03-03 21:23:41" -0.16583888 0.0026375782
"2022-03-03 21:20:39" -0.1679348 0.0026336897
"2022-03-03 21:19:08" -0.16550577 0.002627949
"2022-03-03 21:14:33" -0.16563912 0.0025899108
"2022-03-03 21:13:02" -0.16492529 0.0025776152
"2022-03-03 21:11:31" -0.16218635 0.0025707176
"2022-03-03 21:10:00" -0.16656154 0.0025660268
"2022-03-03 21:08:28" -0.16524692 0.0025596053
"2022-03-03 21:06:57" -0.16607538 0.0025637266
"2022-03-03 21:00:52" -0.16544287 0.0025477316
"2022-03-02 20:28:26" -0.1550379 0.002285711
"2022-03-02 20:26:54" -0.15290882 0.0022855496
"2022-03-02 20:25:23" -0.15783218 0.0022798057
"2022-03-02 20:23:51" -0.15361565 0.002272431
"2022-03-02 20:22:20" -0.15402353 0.0022711894
"2022-03-02 20:20:49" -0.15300381 0.0022596233
"2022-03-02 20:19:17" -0.15410247 0.0022537913
"2022-03-02 20:17:46" -0.15412022 0.002252227
"2022-03-02 20:14:43" -0.15457349 0.0022468318
"2022-03-02 20:13:12" -0.15660061 0.0022431486
"2022-03-02 23:18:49" -0.14624307 0.002978054
"2022-03-02 23:17:18" -0.16606428 0.0030200903
"2022-03-02 23:15:47" -0.14270799 0.0031606925
"2022-03-02 23:14:16" -0.15253842 0.003208943
"2022-03-02 23:12:44" -0.16352518 0.0033116604
"2022-03-02 23:11:13" -0.18159366 0.003239632
"2022-03-02 23:09:42" -0.17284992 0.0032908781
